Model,Color,Year,Form Factor,Screen Size,Processor,Memory,Storage,Working Status,Estimated Value,Condition,Acquired As,Physical Damage,Activation Lock,Original Box,Warranty,Year Acquired,Comments
MacBook (polycarbonate),White,Early 2006,Notebook,13,Intel Core Duo,Unknown,Unknown,Not Working,10,Incomplete,Used,Yes,No,No,Expired,2013,"Unknown damage, does not power on"
MacBook (polycarbonate),White,Mid 2007,Notebook,13,Intel Core 2 Duo,Unknown,Unknown,Working,75,Good,Used,No,No,No,Expired,2019,
MacBook (polycarbonate),Black,Mid 2007,Notebook,13,Intel Core 2 Duo,2GB,160GB,Working,100,Good,Used,No,No,No,Expired,2020,
MacBook (polycarbonate),Black,Mid 2007,Notebook,13,Intel Core 2 Duo,2GB,250GB,Working,75,Good,Used,No,No,No,Expired,2013,Missing key
MacBook (polycarbonate),Black,Mid 2007,Notebook,13,Intel Core 2 Duo,4GB,250GB,Working,100,Good,Used,No,No,No,Expired,2013,
MacBook (polycarbonate),White,Early 2008,Notebook,13,Intel Core 2 Duo,2GB,250GB,Mostly Working,45,Fair,Used,No,No,No,Expired,2014,Display flickering issues
"MacBook (aluminum, unibody)",Silver,Late 2008,Notebook,13,Intel Core 2 Duo,4GB,320GB,Working,150,Good,Used,No,No,No,Expired,2015,
MacBook (polycarbonate),White,Early 2009,Notebook,13,Intel Core 2 Duo,2GB,None,Working,100,Good,Used,No,No,No,Expired,2020,
MacBook (polycarbonate),White,Mid 2009,Notebook,13,Intel Core 2 Duo,4GB,500GB,Working,150,Good,Used,No,No,No,Expired,2018,
MacBook (polycarbonate),White,Mid 2010,Notebook,13,Intel Core 2 Duo,None,None,Not Working,50,Poor,Used,Yes,No,No,Expired,2013,"Water damage, missing parts"
MacBook (unibody),White,Mid 2010,Notebook,13,Intel Core 2 Duo,4GB,250GB,Working,175,Good,Used,No,No,No,Expired,2013,
MacBook (unibody),White,Mid 2010,Notebook,13,Intel Core 2 Duo,4GB,250GB,Working,175,Good,Used,No,No,No,Expired,2020,
MacBook (unibody),White,Mid 2010,Notebook,13,Intel Core 2 Duo,4GB,500GB,Working,125,Good,Used,No,No,No,Expired,2019,“L” key Not Working
MacBook (Retina),Space Gray,Early 2015,Notebook,12,Intel Core M,8GB,256GB SSD,Working,500,Excellent,New,No,No,Yes,Expired,2016,
MacBook (Retina),Rose Gold,Early 2016,Notebook,12,Intel Core m5,8GB,512GB SSD,Working,650,Excellent,Used,No,No,Yes,Expired,2018,
MacBook (Retina),Gold,2017,Notebook,12,Intel Core m3,8GB,256GB SSD,Working,550,Good,Used,No,No,No,Expired,2020,
MacBook Air (non-Retina),Silver,Late 2008,Notebook,13,Intel Core 2 Duo,2GB,None,Not Working,50,Incomplete,Used,Yes,No,No,Expired,2019,"Display hinge broken, missing hard drive, battery, and miscellaneous other parts"
MacBook Air (non-Retina),Silver,Mid 2009,Notebook,13,Intel Core 2 Duo,2GB,128GB SSD,Working,100,Good,Used,No,No,No,Expired,2015,
MacBook Air (non-Retina),Silver,Late 2010,Notebook,13,Intel Core 2 Duo,Unknown,None,Not Working,50,Fair,Used,Yes,No,No,Expired,2019,"Cracked display, LCD issues, unable to power on, possible logic board issues"
MacBook Air (non-Retina),Silver,Mid 2012,Notebook,13,Intel Core i5,4GB,128GB SSD,Working,300,Good,Used,No,No,No,Expired,2015,
